Date,High,Low,Open,Close,Volume,Adj Close,Signal,MACD,SIGNAL LINE,plusDI,minusDI,adx,MACD_n,SIGNAL LINE_n,plusDI_n,minusDI_n,Close_n
2/13/2003,21.21999931,20.18000031,21.20000076,20.70000076,12944200,13.79696751,buy,-0.4925530391141173,-0.6102191327813232,13.618405036493995,28.52535029875075,28.21934653595672,-0.47286402762792124,-0.5095096216743559,-0.46219953535495906,0.10009091441169637,-0.9379096073877022
2/14/2003,21.35000038,20.46999931,20.62000084,21.35000038,10711900,14.23020458,buy,-0.44703133028133735,-0.5775815722650947,13.717763424100507,26.070248677933883,28.42123222599608,-0.4544551954338346,-0.49412794889749245,-0.4582758022248332,0.005408992586660943,-0.9229619332234756
2/18/2003,22.17000008,21.45000076,21.5,21.89999962,12041300,14.59678841,buy,-0.36242035975026,-0.5345493297450069,20.5773513823735,23.99761853994451,26.939220400134985,-0.4202387919150853,-0.4738473929114073,-0.18738581317348058,-0.07452277196165458,-0.9103139113214133
2/19/2003,22.12000084,21.57999992,21.79999924,21.84000015,8619900,14.55679893,buy,-0.29678358771979063,-0.4869961813248281,19.47907784889056,22.716795327117573,25.563066561835402,-0.393695493057193,-0.4514361906971639,-0.2307574132273541,-0.12391820320584934,-0.9116936852474138
2/20/2003,21.97999954,21.57999992,21.97999954,21.64999962,7732900,14.43016338,buy,-0.2571264986252366,-0.4410222447732035,18.68359424309734,21.78909030950498,24.285209426271503,-0.3776582941653559,-0.429769251222636,-0.26217162448533027,-0.15969549780315528,-0.9160630201302101
2/21/2003,22.48999977,21.68000031,21.75,22.40999985,13246100,14.93671894,buy,-0.1625246813585619,-0.385322732078929,22.23720315600163,19.946868058360483,22.93836473342279,-0.3394016244582685,-0.4035187697361883,-0.12183709049215563,-0.2307414951208422,-0.8985857240622874
2/24/2003,22.86000061,22.05999947,22.86000061,22.18000031,15189600,14.78341579,buy,-0.1048949448176657,-0.3292371746175365,24.15333890476997,18.355181551120623,22.274195011192642,-0.31609634492080885,-0.3770863501945946,-0.046167532034384506,-0.2921254867937838,-0.9038748935880203
2/25/2003,23.0,21.62000084,22.39999962,22.84000015,20170600,15.22332764,buy,-0.005917698287856155,-0.2645732793431702,21.035156811052,20.10174136733719,20.845255848384816,-0.27607026573531146,-0.34661106767177574,-0.16930675240237392,-0.22476874743130326,-0.888697250012226
2/26/2003,23.10000038,22.61000061,22.75,22.87999916,13479300,15.24997139,buy,0.07488541495284196,-0.19668154047688693,21.00566497231056,19.156086162159927,19.68526072459804,-0.24339374742023756,-0.31461454296294644,-0.17047140601165356,-0.2612382977956751,-0.8877774153692894
2/27/2003,23.20000076,22.60000038,23.0,23.11000061,14378200,15.40328407,buy,0.15568100321496914,-0.12620903173263573,20.752219416126696,18.037144963092818,18.779137332790526,-0.21072027218222134,-0.2814017337908358,-0.18048015061226153,-0.30439068800167945,-0.8824882019203651
2/28/2003,23.59000015,22.72999954,22.72999954,23.45000076,11461300,15.62989521,buy,0.24432265313138046,-0.05210269475488594,22.786515672070127,16.54535245027664,18.57119575347802,-0.17487387492344475,-0.24647634696491394,-0.10014434999976174,-0.3619222300282937,-0.874669410490936
3/3/2003,23.77000046,23.0,23.48999977,23.09000015,10208200,15.38995457,buy,0.28227621678212955,0.014773087556088287,22.830101563346222,15.323352134725127,18.650049662554324,-0.15952557622532748,-0.21495862983367608,-0.09842311226909961,-0.4090491340090422,-0.8829481412034291
3/4/2003,22.89999962,22.04999924,22.88999939,22.10000038,11893200,14.73010159,buy,0.22983998092097835,0.05778646623090381,20.615403376516234,22.69815708108385,17.66137103164973,-0.18073062084268565,-0.19468696414118836,-0.18588311296183369,-0.12463699420780139,-0.9057146067970849
3/5/2003,22.48999977,21.76000023,22.0,22.14999962,11008300,14.76342297,buy,0.1901258595021993,0.08425434488606746,19.20696151909543,23.861491560034054,17.171793386908426,-0.19679088342244688,-0.1822129850161548,-0.24150347990764143,-0.07977256038624603,-0.9045648025126163
3/6/2003,22.44000053,21.76000023,21.96999931,22.10000038,8971100,14.73010159,buy,0.15285644084419658,0.09797476407806842,17.9750264302677,22.3310147745546,16.717185573934362,-0.2118625160926222,-0.1757467235972655,-0.29015346949222576,-0.13879597600746285,-0.9057146067970849
3/7/2003,22.59000015,21.51000023,21.56999969,22.52000046,10939100,15.01004124,buy,0.15541254739275345,0.1094623207412567,16.19801486409053,22.411796769987006,16.67265730054404,-0.2108288348506583,-0.17033278227309767,-0.36032891539860834,-0.13568058782493353,-0.8960561021585912
3/10/2003,22.61000061,21.84000015,22.35000038,21.92000008,7610700,14.61011791,buy,0.10778944279566005,0.10912774515213151,15.238492333752825,20.83063883902538,16.58917948353338,-0.2300874647125064,-0.17049046355042508,-0.39822114002184184,-0.1966585409748045,-0.9098539720383492
3/11/2003,22.22999954,21.75,21.98999977,21.75,7190100,14.53660583,buy,0.05569058550788597,0.0984403132231328,14.549398847705655,20.736553366326692,16.656690075554828,-0.25115607452321,-0.1755273161263129,-0.42543393006494423,-0.20028698278568347,-0.913763367868046
3/12/2003,22.18000031,21.65999985,21.75,22.17000008,10365400,14.817315099999998,buy,0.04773688762647765,0.08829962810368822,13.820276410609466,20.564721547797667,16.86796215332065,-0.25437252428697354,-0.1803064937907386,-0.4542274917487583,-0.20691374180497224,-0.9041048632295523
3/13/2003,23.20000076,22.27000046,22.5,23.14999962,11208700,15.47229004,buy,0.11912671204592584,0.09446504489219099,22.04934069016741,18.578678326056654,16.27328871839052,-0.22550270960293906,-0.1774008102140946,-0.12925591238387235,-0.2835062492057282,-0.8815683672774286
3/14/2003,23.47999954,22.60000038,23.20999908,22.98999977,9413500,15.36535645,buy,0.1609393925544218,0.10775991442473244,22.8465316780316,17.062539525355312,16.146119952054185,-0.20859379649747178,-0.1711351050104548,-0.09777427539809391,-0.34197671502544635,-0.8852477934655932
3/17/2003,23.97999954,22.59000015,22.92000008,23.89999962,14499500,15.97356319,wait or hold,0.2644480941079337,0.13909755036155236,24.44637348431851,14.982693949772855,16.707238800991583,-0.16673521151934645,-0.15636607037807304,-0.03459538884904412,-0.42218674565135694,-0.8643210408510378
3/18/2003,24.09000015,23.32999992,23.95000076,23.94000053,11698400,16.00029373,wait or hold,0.3457214166522,0.18042232361987146,23.778526897198777,13.979331979539971,17.367630982122247,-0.133868542078855,-0.13689022323191546,-0.0609691237983363,-0.46088177921831563,-0.8634011625148742
3/19/2003,24.70000076,23.79999924,23.87999916,24.54999924,11782400,16.40798187,wait or hold,0.45411282102159234,0.23516042310041652,27.240590495736317,12.879372621865793,18.68392095615588,-0.0900354078341078,-0.11109284373051298,0.0757502208631522,-0.5033021275374906,-0.8493733666868112
3/20/2003,25.03000069,23.70999908,24.30999947,24.92000008,12848600,16.65527344,wait or hold,0.5633724451361957,0.30080282750776505,26.99290502872576,11.45564862324377,20.235820134020923,-0.04585116832536695,-0.08015640213040287,0.06596894626549243,-0.5582085815901361,-0.840864666332786
3/21/2003,25.79999924,25.09000015,25.5,25.78000069,15717600,17.23004723,wait or hold,0.711152143776264,0.38287269076165753,31.441894372837332,10.613332079751164,22.328025236395128,0.013910465051601761,-0.04147790528669415,0.24166268793731605,-0.5906928374134717,-0.8210877180026991
3/24/2003,25.5,24.10000038,24.5,24.37999916,12019100,16.29435921,wait or hold,0.707157755624003,0.44772970373424853,27.31297467864741,16.958040178051686,22.403871561662566,0.012295147369149717,-0.010911608815696305,0.07860872353642545,-0.3460067718460178,-0.8532827625165078
3/25/2003,25.20999908,24.31999969,24.35000038,25.11000061,13468600,16.78225708,wait or hold,0.7541985846655379,0.5090234799205985,25.409329646610406,15.776107806427978,22.474300292268047,0.03131830687481307,0.01797537886489131,0.003432432333069224,-0.39158844042693797,-0.8364953314499897
3/26/2003,25.70000076,25.0,25.14999962,25.42000008,11527200,16.98944664,wait or hold,0.8071864685848347,0.5686560776535174,27.895012345773413,14.896680480086774,23.03869527118831,0.052746436187209866,0.046079473982723274,0.10159380343252655,-0.4255038876155286,-0.8293664487151922
3/27/2003,25.29000092,24.70000076,25.02000046,25.05999947,7644700,16.74883842,wait or hold,0.8107862648166453,0.6170821150861896,26.272740168920127,16.45352138864751,23.03462376710988,0.05420218217002737,0.06890205783665793,0.03752912565605837,-0.36546372962430074,-0.8376451794276852
3/28/2003,25.05999947,24.42000008,25.05999947,24.62999916,7364200,16.46145058,wait or hold,0.7700668887224325,0.6476790698134617,24.887241596081854,17.893014829377595,22.55709301102241,0.0377353978425794,0.08332201870810185,-0.017185194724391506,-0.3099491210772586,-0.8475336537077109
3/31/2003,24.80999947,23.82999992,24.0,24.36000061,11630500,16.28099823,wait or hold,0.7078513781138973,0.6597135314735562,22.89613762517638,21.278115598837985,21.207501862466582,0.012575646066362856,0.08899370949544605,-0.09581530139547545,-0.17940143062472436,-0.8537426578763805
4/1/2003,24.79000092,23.97999954,24.61000061,24.79000092,10403600,16.56838799,wait or hold,0.6853405202375988,0.6648389292263672,21.37402085992065,19.86356363307641,19.954310081664744,0.0034723277636170558,0.09140924514939952,-0.15592477099965485,-0.23395416176386363,-0.8438541835963549
4/2/2003,26.12999916,25.10000038,25.10000038,25.87999916,13033900,17.29688644,wait or hold,0.746840780695095,0.6812392995201192,29.70015258624433,17.76010305716987,20.32600198003853,0.02834283468622667,0.09913853389793958,0.17288007061823585,-0.3150749138017208,-0.8187881096637262
4/3/2003,26.28000069,25.85000038,26.04999924,26.03000069,11812400,17.39713287,wait or hold,0.7984790399340298,0.7046872476029087,29.883162110445653,17.133110130681082,20.811171931520526,0.04922518013191812,0.11018925763444609,0.1801072464061635,-0.33925513296141074,-0.8153386091939021
4/4/2003,26.57999992,26.02000046,26.04999924,26.43000031,10454500,17.66448593,wait or hold,0.8617442679392546,0.7360986516701858,31.000705767850196,16.32481679376066,21.53969654225828,0.07480943423685549,0.1249930582611638,0.22423983730816022,-0.3704272709654306,-0.8061400438384725
4/7/2003,27.5,26.22999954,27.25,26.32999992,13721300,17.59764862,wait or hold,0.8935135779904151,0.7675816369342381,35.282192801041234,14.638182581550776,22.954995087121898,0.08765684073036106,0.1398305942078124,0.3933187940326437,-0.4354729567626452,-0.808439696330601
4/8/2003,26.70000076,25.97999954,26.5,26.43000031,11268600,17.66448593,wait or hold,0.916198452953946,0.7973050001381845,33.18867553016707,15.829893111623178,23.844828786042353,0.09683053098178607,0.1538388423550241,0.31064431357759625,-0.3895141898058443,-0.8061400438384725
